;; -*- coding: utf-8 -*-
[Comment]
纯净二笔
-----------------------------------------
二笔输入法规范编码  作者：承谦堂主	
j/by 结冰
j/bz 经不住
j/c/ 纠缠
j/cd 纠察队
j/cf 经常 结仇
j/ch 经常会
j/ci 级差
j/ck 结成 结存
j/cl 绝唱
j/cm 继承
j/co 纠察
j/cq 继承权
j/cr 继承人
j/cx 经常性
j/cy 级次
j/cz 继承者
j/d. 绝对
j/da 结点
j/df 绝代
j/dg 经典
j/dh 缉毒
j/dj 绝顶
j/dq 经得起
j/ds 绝对是
j/dv 绝地
j/dx 绝对性
j/dy 经度
j/dz 绝对值 经得住
j/ek 继而
j/f 给
j/f, 结发
j/f/ 纠纷
j/fa 绝非
j/ff 给付
j/fn 经费 缴费
j/fr 继父
j/ft 纠风
j/fz 剿匪 给
j/g 畿
j/gb 纠葛
j/gg 结果
j/gj 经过 畿
j/gq 经管
j/gs 结果是
j/gx 结构
j/h 绩
j/h, 结婚
j/ha 绩
j/hb 缴获
j/hc 绝活 结汇
j/hf 结合 纠合
j/hx 结核 骄横
j/hz 结婚证
j/i 继
j/i; 缣
j/ij 继
j/j 结
j/j/ 经纪 纠结
j/jc 经济
j/jf 纠集 绝佳 缙
j/jj 经济界
j/jl 经济林
j/jn 结局 缰
j/jq 经济区
j/jr 经纪人
j/js 结晶
j/jt 经久
j/ju 绝技
j/jv 绝境
j/jw 纪检委
j/jx 纪检 经济学
j/jy 结交 绝迹 绝交
j/jz 结
j/k 缄
j/kj 缴款
j/kl 绝口
j/ky 骑
j/kz 缄
j/l 绢
j/l/ 经络
j/lb 经理部
j/ld 绢
j/le 纪律
j/lf 绝伦
j/lh 经理
j/lj 缉
j/lk 经历
j/ll 绝路
j/ln 纪录
j/lp 结论 纪录片
j/lr 经理人
j/lx 纪律性
j/m 纠
j/m, 绝妙
j/m/ 继母 骏马
j/mb 经贸部
j/md 经脉 结膜
j/mg 缄默
j/mi 绝美
j/ml 剿灭
j/mo 绝密
j/ms 结盟
j/mt 经贸
j/mw 经贸委
j/my 结膜炎
j/n 纪
j/n/ 缴纳
j/nb 纪念碑 纪
j/nf 纪念 缉拿
j/ng 纪念馆
j/nh 纪念会
j/np 纪念品
j/nq 纪年
j/nr 纪念日
j/nt 纪念堂
j/pf 纠偏
j/pj 绝配
j/q 骄
j/qc 结清
j/qj 经期
j/qo 绝情
j/qq 骄气
j/qr 骄
j/qy 结亲
j/rf 继任 骄人
j/rg 绞肉
j/rt 绝然
j/ru 绝热
j/s 剿
j/s/ 经书
j/sf 绝食
j/sh 结束后
j/sj 结束
j/sk 结石
j/so 结实 纪实
j/sp 结识
j/sq 经手 结算 缉私
j/sr 经受
j/st 绝色
j/sy 经商
j/t 绝
j/tl 驹
j/tm 绝
j/tv 级
j/ty 绛
j/w 缴
j/w/ 经纬
j/wd 经纬度
j/wh 绝无
j/wi 结为
j/wn 结尾 缴
j/wq 纪委
j/ww 经纬网
j/wy 绝望 经文
j/x/ 继续
j/xb 经销部
j/xc 绩溪
j/xe 纪行
j/xh 绞刑
j/xj 结下
j/xo 经学
j/xs 经销商
j/xw 经血
j/xx 缴械
j/xy 绩效
j/xz 经销
j/y 绞
j/y. 给予
j/y/ 经验 绝缘
j/yb 经营
j/yf 结余
j/yg 绩优股 经由
j/yh 纪元
j/yi 给养
j/yj 纪要
j/ym 骄阳
j/yp 结语
j/yq 经营权
j/yr 绞
j/ys 结业
j/yt 绝缘体 结怨
j/yx 经营性
j/yy 绝育
j/yz 经营者
j/z; 结转
j/zg 结账
j/zj 纠正
j/zm 骄子
j/zu 绝招 结扎
j/zy 绝症
j; 较
j;; 巨
j;by 巨变
j;c; 轿车
j;ci 较差
j;cq 较长
j;df 较低
j;dk 巨大 较大
j;dq 较短
j;dt 较多
j;eo 巨额
j;fg 巨幅
j;fh 轿夫
j;gy 较高
j;h, 较好
j;he 较后
j;j 车
j;j. 较劲
j;je 较近
j;jf 较佳
j;js 较紧
j;jz 巨匠
j;kj 巨款
j;ko 较快
j;kz 皆可
j;l 辑
j;l; 巨轮
j;lc 巨浪
j;lj 辑
j;ln 辑录
j;ls 较量
j;mg 巨蟒
j;mo 较慢
j;n. 较难
j;pw 巨片
j;q 轿
j;q; 较轻
j;qi 较前
j;qn 较强
j;qr 轿
j;rf 巨人
j;rn 较弱
j;sc 较深
j;sd 较少
j;sk 巨石
j;ss 皆是
j;to 巨头
j;w 皆
j;wi 较为
j;wn 皆
j;ws 较晚
j;xd 较小
j;xh 巨型
j;xl 巨响
j;xs 巨星
j;xy 较新
j;yf 较优
j;yg 皆因
j;yh 较远
j;yk 皆有
j;yo 皆宜
j;yr 较
j;ys 较易
j;zb 巨著
j;zf 巨作
j;zk 皆在
j;zm 轿子
j;zp 较之
j;zq 较重 皆知
j;zs 较早
j;zy 巨资
ja 韭
jab 乩
jabx 桀骜不驯
jacb 韭菜
jad; 冀东
jag 冀
jagh 龃
jagj 冀
janj 冀南
jap 遽
japv 遽
jaqm 举案齐眉
jasb 节哀顺变
jasw 居安思危
jaz 韭
jazg 冀中
jazm 骄傲自满
jb 节
jb, 茄
jb,l 茄
jb. 茎
jb.j 茎
jb; 苣
jb;; 苣
jbar 敬爱
jbay 节哀
jbbq 警备区
jbbt 警备
jbbu 警报
jbbw 津巴布韦 茭白
jbc 茳
jbca 藉此
jbcb 芥菜
jbcf 久别重逢
jbcj 警察局 茳
jbco 警察
jbcr 拒不承认
jbcx 荆楚
jbda 节点
jbdg 节电
jbdq 警笛
jbdr 见不得人
jbf 蕉
jbfd 警服
jbff 基本方法
jbfw 芥
jbfy 警方 蕉
jbfz 警匪 基本方针
jbg 菌
jbgc 基本国策
jbgh 苴
jbgj 茧
jbgl 基本纲领
jbgo 警官
jbgq 警告 菌
jbgy 节骨眼
jbgz 基本工资
jbh 藉
jbha 菁
jbhb 菊花
jbhe 节后
jbhh 金碧辉煌
jbhj 藉
jbhx 菌核
jbi 蒹
jbi; 蒹
jbj 芰
jbj. 芰
jbjb 节节
jbjc 敬酒
jbjd 加班加点
jbjf 节俭
jbjj 荆棘
jbjn 基本技能
jbjo 警觉
jbjr 节假日
jbjs 蒋介石 基本建设 军备竞赛
jbjt 警句
jbjx 警戒线
jbjy 节减
jbjz 警戒 精兵简政
jbk 荐
jbkc 坚不可摧
jbkd 急不可待
jbkg 揭不开锅 荐
jbki 蕨
jbkl 藉口
jbkn 急不可耐
jbks 机不可失
jbl 荚
jbl, 警力
jblc 节流
jble 节律
jblf 节令
jblj 敬老 蕺
jbll 基本理论 莒
jblp 敬礼
jblq 荚
jblx 基本路线
jbly 敬老院
jbm 节
jbmb 敬慕
jbmd 基本矛盾
jbmg 节目
jbmh 芥末
jbmi 节煤
jbmn 警民
jbmu 荆门
jbn 荩
jbn. 节能
jbna 葭
jbnr 基本内容 荩
jbnz 剑拔弩张
jbo 菅
jbom 菅
jbpf 敬佩
jbpu 节拍
jbq 敬
jbqi 节前
jbqj 精兵强将
jbqk 基本情况
jbql 基本权利
jbqp 敬请
jbqq 节气
jbqr 敬
jbrf 健步如飞 间不容发
jbrs 节日
jbrw 基本任务
jbs 荆
jbs/ 菌丝
jbsd 节省
jbsf 节食
jbsg 节水
jbsh 警示
jbsj 举不胜举
jbst 菌丝体
jbsx 基本思想
jbsy 戒备森严
jbt 艽 菊
jbtg 蓟
jbti 菊
jbtj 基本条件
jbtm 金榜题名
jbto 警惕
jbtt 荆条
jbtv 芨
jbtx 警惕性
jbwc 基本完成
jbwg 敬畏
jbwj 据不完全统计
jbwm 警卫
jbwq 据不完全
jbwt 基本问题
jbwx 洁白无瑕
jbwy 警卫员
jbxj 敬献
jbxq 节选
jbxs 基本形式
jbxz 节选自
jby 警
jby/ 节约
jbyc 节油
jbyd 蒋
jbyf 节余
jbyh 警
jbyl 基本原理
jbyp 警语
jbyr 荠 蒺 茭
jbys 敬业
jbyx 决不允许
jbyy 敬意
jbyz 基本原则
jbzd 基本制度
jbzg 藉助
jbzh 节奏
jbzi 荆州
jbzj 节支
jbzq 节制 敬重
jbzs 饥不择食
jbzt 戒备状态
jbzx 拒不执行
jbzz 警钟
jc 江
jc. 浚
jc.j 泾
jc.r 浚
jc; 渐
jc;a 渐
jc;q 浇
jcag 江岸
jcas 激昂
jcb, 江边
jcba 江北 局促不安
jcbf 家常便饭
jcbj 据初步统计
jcbl 酒吧
jcbw 洁白
jcbx 酒杯
jcby 渐变
jccb 酒菜
jcck 酒厂
jccx 经常出现
jccy 渐次
jcd; 江东
jcdb 激荡
jcdh 激动
jcdl 集成电路
jcdw 基层单位
jcdy 酒店
jcdz 基层党组织
jcey 仅此而已
jcf, 激发
jcfk 激奋
jcfo 激愤
jcfs 绝处逢生
jcfw 竭诚服务
jcfy 酒疯
jcg 溅
jcgb 基层干部
jcgc 浇灌
jcgf 激光 溅
jcgh 沮
jcgq 激光器
jcgr 济公
jcgt 酒馆
jcgw 酒鬼
jcgz 基层工作
jch 浅
jch, 浅
jchb 浇花
jchc 江淮 江湖 激活 江河
jche 酒后
jchf 激化
jci 湔
jciz 湔
jcj 酒
jcj, 酒
jcjc 渐渐 将错就错
jcje 渐近
jcjf 激将法
jcjg 检察机关
jcjh 激进 渐进
jcji 酒精
jcjo 酒家
jcjp 激进派
jcjs 基础建设
jcjy 洁净
jcjz 洁 江
jckg 济困
jcks 进出口公司
jckx 基础科学
jcl 涓
jclc 激流
jcld 涓
jclg 江岭
jcli 酒类
jclk 激烈 激励
jcll 饥肠辘辘 基础理论
jcln 激灵
jclq 浃
jcls 酒量
jclx 酒楼
jcmk 江面
jcml 浇灭
jcms 江门市
jcmu 江门
jcn 津
jcn, 激怒
jcnh 津
jcnj 江南 济南
jcnl 浸
jcno 济宁
jcns 济南市
jcpc 浸泡
jcpg 江畔
jcpi 酒瓶
jcpy 洁癖
jcqj 汲取
jcql 酒器
jcqo 激情
jcqq 酒气
jcqv 激起 渐趋
jcqw 酒泉
jcrc 浸染 浸润
jcrg 酒肉
jcrr 浸入
jcrw 杰出人物
jcry 检查人员
jcsb 江苏
jcsc 浸湿
jcsf 酒舍
jcsg 江山 浇水 江水
jcsh 激素
jcsj 沮丧
jcss 基础设施
jcst 酒色
jcsz 精诚所至
jct 汲
jctc 建成投产
jctg 津贴
jctj 精诚团结
jctq 金蝉脱壳 浸透
jctv 酒坛 汲
jcty 洚
jcu 涧
jcub 涧
jcw 激
jcwc 江湾 泾渭
jcwl 酒味
jcwn 洎 激
jcwo 酒窝
jcwz 解除武装
jcxf 酒仙
jcxj 江西
jcxk 基础学科
jcxl 基础训练
jcxq 坚持下去
jcxs 江西省
jcxy 酒席
jcy 济
jcyc 津液
jcyj 基础研究
jcym 济阳
jcyo 酒宴
jcyr 济
jcys 酒业
jcyu 激扬
jcyy 酒瘾
jcyz 坚持原则
jcza 激战
jczc 江浙
jczd 奖惩制度
jczg 江中
jczj 酒醉
jczm 江泽民
jczq 浇筑
jczs 基础知识
jczv 激增
jczz 基层组织 浇铸
jd 脚
jd. 胫
jd.j 胫
jdba 脚步
jdbc 街道办事处
jdbf 绝大部分
jdbh 巨大变化
jdbj 脚本
jdbk 胶布
jdbs 脚步声
jdbw 尖兵
jdby 坚定不移
jdcb 降低成本
jdcj 巨大成就
jdcy 旧地重游
jdd, 尖刀
jddj 胶带
jddr 绝大多数人
jdds 绝大多数
jddy 尖端 脚底
jdfd 肌肤
jdfg 尖峰
jdfh 脚夫
jdfz 既定方针
jdg 胛
jdgb 军队干部
jdgh 胛
jdgl 脚跟
jdgq 胶管
jdgx 巨大贡献
jdgz 接待工作
jdh 腈
jdha 腈
jdhg 脚后跟
jdhl 脚踝
jdhw 肼
jdhx 皆大欢喜
jdhy 夹道欢迎
jdj, 脚架
jdjc 监督检查
jdjd 脚尖
jdjg 监督机构
jdji 胶卷
jdjl 尖叫
jdjs 军队建设
jdjz 监督机制
jdk 尖
jdkv 尖
jdkx 尖端科学
jdky 尖刻
jdlk 尖厉
jdll 巨大力量
jdlq 尖利
jdmc 今冬明春
jdml 简单明了
jdn 腱
jdnh 腱
jdnj 胶囊
jdp, 胶皮
jdpw 胶片
jdqc 就地取材
jdqq 脚气
jdrg 肌肉
jdrh 尖锐化
jdrx 激动人心
jdrz 尖锐
jdsa 脚上
jdsg 胶水 见多识广
jdsj 脚手架
jdsr 借刀杀人
jdss 巨大损失
jdt 肌
jdtc 脚踏车
jdtf 肌体
jdtl 脚踏
jdv. 脚
jdx/ 尖细
jdxj 脚下
jdxk 精雕细刻
jdxs 精打细算
jdxz 精雕细琢
jdy 胶
jdyi 脚丫
jdyr 胶
jdys 结党营私
jdyt 脚印
jdyx 巨大影响
jdyz 脚丫子
jdzc 脚注
jdzd 监督制度
jdze 胶质
jdzf 就地正法
jdzi 胶着
jdzl 脚趾
jdzm 尖子
jdzn 监督职能
jdzs 鉴定证书
jdzw 井底之蛙
jdzy 决定作用
jdzz 经典著作
je 近
je. 径
je.j 径
jeb, 街边
jebk 近百
jece 舰船
jecq 近程
ject 近处
jedf 近代
jedi 街道
jedm 舰队
jeds 近代史
jefv 街坊
jeg 舰
jegj 近古
jegt 舰
jehc 近海
jehr 近乎
jej 斤
jejn 近几年
jejq 近郊区
jejs 吉尔吉斯
jejt 近几天
jejy 近郊
jejz 久而久之
jekl 街口
jeky 近况
jelc 径流
jelf 近邻
jelj 斤两
jell 近来
jeln 近两年
jels 接二连三
jemk 街面
jenl 近年来
jenq 近年
jepv 近
jepy 近旁
jeqi 近前
jeqj 近期
jeqn 近期内
jeqq 近千
jeqy 近亲
jeqz 街区
jerc 嫉恶如仇
jerl 近日来
jers 近日
jesa 街上
jesf 近似
jesp 近视
jesw 近身
jesy 近视眼 街市
jesz 近似值
jete 舰艇
jeto 街头
jev 街
jevv 街
jew 徼
jewn 徼
jewq 街舞
jexa 近些
jexj 街巷
jexn 近些年
jexp 街心
jexw 径向
jeyh 近于
jeyz 兼而有之 敬而远之 简而言之
jezj 径直
jezl 舰只
jezq 舰长
jezs 近照
jf 件
jf, 隽
jf,l 伽
jf. 仅
jf.r 俊
jf; 侥
jf;q 侥
jf;t 僭
jfao 假案
jfb 儆
jfb, 金边
jfba 健步
jfbh 金不换
jfbq 金笔
jfbt 儆
jfbu 假扮
jfbw 假币 金币
jfbx 金榜 金杯
jfca 借此
jfcc 金灿灿
jfcd 集成度
jfch 今春
jfck 集成 仅存
jfcm 借出
jfcp 介词
jfcs 今晨
jfcu 僵持
jfcv 金城
jfcy 仅次于
jfcz 见缝插针
jfd. 倦怠
jfda 焦点
jfdd 鸡飞蛋打
jfdf 借贷
jfdg 介电
jfdi 借道
jfdj 集电极
jfdo 假定
jfdt 今冬
jfej 焦耳
jfeo 金额
jfet 健儿
jff 价
jff, 金发
jffc 剑法
jffl 俭
jffw 价
jffy 借方 僬
jfg 俱
jfg/ 借给
jfg; 金戈
jfgb 金箍棒
jfgf 借光 金光 仅供
jfgg 金刚
jfgh 俱
jfgj 借故
jfgp 金冠
jfgq 仅管
jfgs 金刚石
jfgt 鸡飞狗跳
jfgx 价格
jfgz 价格战
jfh 金
jfh, 金婚
jfhb 金花
jfhe 今后
jfhf 集合 假货 集会 僵化 金
jfhj 金黄 焦黄
jfhp 假话 佳话
jfhs 金黄色
jfht 金猴
jfi 倦
jfih 倦
jfj 借
jfj. 伎
jfj/ 集结
jfja 借
jfjb 佳节
jfjc 假酒
jfjf 仅仅
jfjg 仅见
jfjj 集聚
jfjl 焦距
jfjn 僵 倔强 僵局
jfjp 劫富济贫
jfjq 今季
jfjs 借鉴
jfjt 焦急 佳句
jfju 借据
jfjv 佳境
jfjx 借机
jfjy 健将 金奖
jfjz 集锦 佼佼者 佶
jfkj 借款
jfkk 金矿
jfkl 借口
jfko 剑客
jfkq 仅靠
jfkv 金块
jfky 健康
jfkz 军费开支
jfl, 借力
jfla 焦虑
jflb 俱乐部
jfld 假劣
jflf 伎俩
jfll 伽利略
jflm 金陵
jflp 健朗
jfly 价廉
jflz 佳丽
jfmc 健美操
jfmg 假冒 价目
jfmi 健美 焦煤 俊美
jfmj 假面具
jfmk 假面
jfms 佳木斯 金霉素
jfmt 集贸 假名
jfmu 金门
jfn 假
jfn. 佳能 仅能
jfna 假
jfnc 今年初
jfnd 健脑
jfng 俊男
jfnh 健
jfnj 佳酿
jfnn 今年内
jfnq 今年 倨
jfnt 倔
jfo 焦
jfof 佳偶
jfoo 焦
jfp 今
jfpb 金牌榜
jfpf 仅凭
jfpj 假票
jfpl 佳品
jfpw 金牌
jfpx 俭朴
jfq 牮
jfqb 金钱豹
jfqf 健全 俊俏
jfqg 金曲
jfqj 假期 件 牮
jfqq 金秋
jfqv 今起
jfqx 集权 剑桥
jfqz 金钱 价钱 借钱
jfr, 假如
jfrb 假若
jfrf 佳人
jfrj 金融界
jfro 倦容
jfrr 介入
jfrs 假日 今日
jfry 金融业
jfrz 金融
jfs 剑
jfs/ 介绍
jfsc 金沙
jfsd 集散地 见风使舵
jfsf 假使 健身房
jfsg 假山 金山
jfsh 金丝猴
jfsi 件数
jfsj 集散 剑术 今世
jfsm 久负盛名
jfsn 金属
jfso 借宿
jfsp 假设
jfsq 今生 仅剩
jfsr 假释 介绍人
jfss 仅是
jfst 金色 偈
jfsw 健身
jfsx 解放思想 介绍信
jfsy 集市
jfsz 借书证
jft 鹪
jftf 集体
jftg 集团
jfth 今天
jftj 集团军
jftp 健谈 鹪
jfts 今天是
jftt 借条
jftv 焦土
jfv 佳
jfvv 佳
jfw 介
jfwf 价位
jfwi 仅为
jfws 今晚
jfwy 健忘
jfx 集
jfxb 今非昔比
jfxc 接风洗尘
jfxd 集训队
jfxj 今昔
jfxk 今夏
jfxm 仅限
jfxo 假性
jfxp 集训
jfxq 俊秀
jfxs 金星
jfxt 假象
jfxv 侥幸
jfxx 假惺惺 假想
jfxy 仅限于
jfy 佼
jfy. 借以
jfy/ 集约
jfy; 假牙
jfyb 假药
jfyc 焦油
jfyg 集邮
jfyh 介于
jfyi 假烟
jfyk 僵硬 仅有
jfyl 借喻 僦
jfyp 隽永
jfyr 佳肴 佼
jfys 绝非易事
jfyt 借用 金鱼
jfyu 借阅
jfyy 介意 今夜 佳音 假意 倦意
jfyz 金银
jfza 仅占
jfzc 集注
jfze 介质 金质
jfzf 价值 佳作 借债
jfzg 集中
jfzi 焦灼
jfzj 僵直
jfzk 健在
jfzl 焦躁
jfzm 金子
jfzq 假造
jfzr 肩负重任
jfzt 金字塔
jfzu 仅指
jfzx 集装箱
jfzy 健壮 集资 假装 借助于
jfzz 集镇 集中在
jg 见
jg. 矍
jg.r 峻
jg; 睫
jg;h 睫
jgb/ 羁绊
jgbb 甲苯
jgbd 见不到
jgbg 见怪不怪
jgbk 界碑
jgbm 结果表明
jgbt 具备
jgbu 见报
jgbx 甲板 居高不下
jgcg 甲虫
jgcj 甲醇
jgck 仅供参考
jgd; 见到
jgde 见得
jgdo 界定
jgdv 见地
jgdw 机关党委
jgdy 见底
jgeq 揭竿而起
jgf 界
jgfl 睑
jgfm 几个方面
jgfw 蚧 骱 界
jgfx 见分晓
jgfy 甲方 瞿 雎
jgg 岬
jggb 机关干部
jggd 甲肝
jggf 见光
jggg 机构改革 巾帼
jggh 岬
jggj 见过
jggo 见怪
jggt 觊
jggw 甲骨文
jggy 加工工业
jgh 甲
jgh, 贱
jgha 睛
jghc 界河
jghq 举国欢庆
jght 举国欢腾
jghx 甲
jghz 且
jgi 圈
jgih 圈
jgj 羁
jgj/ 甲级
jgja 羁
jgjc 鞠躬尽瘁
jgjd 甲级队
jgjj 加官进爵
jgjl 急功近利
jgjs 假公济私
jgjt 见解
jgjv 虾
jgjz 虹
jgk 畸
jgkc 甲壳虫
jgkj 甲壳
jgky 甲亢 畸
jgl 蛱
jglg 峻岭
jgli 甲类
jglk 蛟龙
jglp 见谅
jglq 蛱
jglx 居高临下
jgly 建功立业
jgm 囝
jgmh 见面会
jgmj 贱卖
jgmk 见面 界面
jgml 见面礼
jgmq 睫毛
jgmz 囝
jgn 崛
jgnr 赆
jgnt 崛
jgny 坚固耐用
jgp 迥
jgpv 迥
jgq 峤
jgqg 峻峭
jgqj 甲醛
jgqr 峤
jgqv 崛起
jgqy 军工企业
jgr 具
jgrc 尽管如此
jgrf 贱人 见人
jgrt 迥然
jgsg 甲申
jgsj 甲酸
jgsm 见世面
jgsp 见识
jgss 金光闪闪
jgsx 举国上下
jgsz 将功赎罪
jgt 虮 见
jgtf 具体
jgtg 见图
jgth 具体化
jgtm 金戈铁马
jgtt 机关团体
jgtv 岌
jgtx 价格体系
jgwi 甲烷
jgwq 甲午
jgwt 见外
jgwu 见闻
jgx 巾
jgx. 见习
jgx/ 界线
jgxh 畸形 甲型
jgxm 界限
jgxq 见笑
jgxs 结果显示
jgxy 见效
jgxz 精耕细作
jgy 蛟
jgyb 甲乙
jgyc 技高一筹
jgyf 觊觎
jgyh 界于
jgyk 具有
jgyn 迥异
jgyr 嵴 蛟
jgyt 甲鱼
jgyu 羁押
jgyv 界域
jgyx 巾帼英雄
jgza 居功自傲
jgzc 价格政策
jgzd 激光制导
jgzf 机关作风
jgzi 见着
jgzm 甲子
jgzn 惊弓之鸟
jgzp 见证
jgzq 见长
jgzr 见证人
jgzx 甲状腺
jgzy 军国主义
jh 进
jh, 珈
jh,l 珈
jh,v 戋
jhb; 击毙
jhba 进步
jhbg 击败
jhbh 骄横跋扈
jhbn 井壁
jhbp 进补
jhbz 进逼
jhca 进餐
jhcc 击沉
jhcj 进出境
jhck 进出口
jhcm 进出
jhco 击穿
jhcq 进程
jhcv 进城 进场
jhcz 进程中
jhd; 进到
jhdb 进度表
jhdf 击倒
jhdg 静电
jhdj 结婚登记
jhdu 击打
jhdy 进度
jhek 进而
jhf, 进发
jhfp 进房
jhft 进犯
jhg 击
jhg. 静观
jhgc 进港
jhgj 进攻
jhgs 井冈山
jhgx 进攻性 击
jhgz 今后工作
jhh 珏
jhha 珏
jhhf 进化 进货 静候
jhhh 江河湖海
jhhl 进化论
jhhs 耩
jhhw 击毁
jhj 瑾
jhj, 井架
jhja 瑾
jhjf 进价 击剑
jhjh 静静
jhjj 计划经济
jhjm 进阶
jhjo 静寂
jhjp 饥寒交迫 进军
jhjv 进境
jhjy 进京
jhjz 击键
jhkc 击溃
jhke 进口额
jhkg 进口国
jhkh 进口货
jhkl 进口 进口量
jhks 进口商
jhlb 击落
jhli 进料
jhll 进来
jhlx 静力学
jhmd 静脉
jhmg 静默
jhmp 静谧
jhmq 静穆
jhmu 进门
jhmx 静脉血
jhn 琚
jhnq 琚
jhp 恝
jhpk 击破
jhpl 井喷
jhpo 恝
jhpv 进
jhpz 江湖骗子
jhqh 击球 进球
jhqj 进取
jhqk 进气口
jhqq 静悄悄 进气
jhqv 进去
jhqx 进取心
jhrf 进人
jhrr 进入
jhrt 井然
jhrw 机毁人亡
jhrx 江河日下
jhsc 惊慌失措
jhsf 击伤 进食
jhsg 井水 进山 进水
jhsj 进士
jhsk 击碎
jhsy 计划生育 镜花水月
jht 玑
jht. 井台
jhtg 井田
jhtk 静态
jhtl 静听
jhtn 静 进退 击退
jhtv 玖
jhty 酒后吐真言
jhtz 计划体制
jhw 井
jhwd 惊魂未定
jhwf 进位
jhwh 计划委员会
jhwn 进屋
jhwq 静物
jhwx 家和万事兴
jhxb 进修班
jhxe 进行
jhxf 进修 借花献佛
jhxj 井下
jhxp 静心
jhxq 进行曲
jhxs 进修生
jhxz 进行着
jhyb 进一步
jhyi 静养
jhyj 交换意见
jhyk 静压
jhyr 嫁祸于人
jhyx 集会游行
jhyy 进言
jhz/ 进驻
jhza 静止
jhzb 计划指标
jhzf 静坐
jhzg 击中
jhzn 进展
jhzq 进制
jhzy 机会主义 进站
ji 精
ji, 剪
ji,z 姜
ji. 翦
ji.; 翦
ji/ 卷
ji; 兼
ji;; 炬
ji;z 兼
jiah 煎熬
jibi 兼并
jibt 兼备
jibw 精兵
jici 精粹
jicj 剪裁
jicp 精诚
jicq 兼程
jicr 精彩 剪彩
jid, 剪刀
jide 兼得
jidf 精当
jidp 精读
jidy 精度
jif/ 精纺
jig 眷
jigf 精光
jigh 精干 眷
jigj 精工
jigk 兼顾
jigl 炯
jigq 兼管
jigs 蠲
jiha 精
jihf 精华
jiho 精悍
jij 粳
jij; 剪辑
jijg 兼具
jijn 粳
jijq 精简
jijy 精减
jikk 精矿
jil, 精力
jili 精炼
jiln 精灵
jilp 精良
jilt 精馏
jily 眷恋
jim, 精妙
jimi 精美
jimk 卷面
jimo 精密
jimq 剪毛
jims 精明
jin 烬
jinb 糨
jinj 精囊
jinr 烬
jint 焗
jio 煎
jioo 煎
jipl 精品
jipn 精辟
jiq; 剪切
jiqb 剪切板
jiqd 精确度
jiqg 卷曲
jiqj 精巧
jiqk 精确
jiqs 精气神
jiqv 卷起
jir 爝
jir/ 卷绕
jirf 兼任
jiri 爝
jiro 兼容
jirr 卷入
jirx 兼容性
jirz 精锐
jis 羯
jisb 精神病
jisc 精深
jisg 精髓
jism 兼收
jisn 眷属
jisp 精神
jisq 精算
jiss 精神上
jist 羯
jit 鹣
jit. 精通
jitb 剪贴板
jitg 剪贴
jitp 鹣
jitq 卷筒
jiwe 精微
jix 桊
jix/ 精细
jixc 卷心菜
jixp 精心
jixq 精选
jiyb 精英
jiyc 焗油 精液
jiyh 精于
jiyi 卷烟
jiyj 卷扬机
jiyk 兼有
jiys 剪影
jiyv 精盐
jiz/ 剪纸
jiz; 精致
jizb 精装本
jizc 精湛
jizj 兼职
jizm 精子
jizo 卷宗
jizq 精制
jizy 精装
jj 基
jj, 嘉
jj,l 嘉
jj. 柬
jj.c 柬
jj; 戟
jj;r 戬 戟
jja 醵
jja, 醵
jjao 教案
jjb 鞯
jjbb 结结巴巴
jjbc 经济补偿
jjbf 基本法
jjbg 基本功
jjbj 基本
jjbk 鞯
jjbm 经济部门
jjbo 嘉宾
jjbp 聚宝盆
jjbs 经久不衰
jjbw 救兵
jjbx 经久不息
jjby 聚变
jjc. 教参
jjca 聚餐
jjcb 基础部
jjcc 进进出出
jjcf 经济成分
jjcj 积极参加 晋察冀
jjck 基础
jjcm 救出
jjcn 基层
jjcp 晋祠
jjcq 教程
jjcs 基础上
jjcv 晋城
jjcx 教材
jjcy 积极参与
jjd; 聚到
jjda 基督 基点
jjdb 经济担保
jjdc 教导处
jjdd 简简单单
jjdf 晋代
jjdi 截断
jjdj 基督教
jjdl ^金鸡独立
jjdn 教导
jjdv 基地
jjdx 踽踽独行
jjdy 教导员
jjdz 阶级斗争
jje 靳
jjej 靳
jjf 截
jjf; 基辅
jjfa 解决方案
jjfc 教法
jjfd 经济发达 基肥 经济负担
jjfq 经济发达地区
jjfr 教父 经济繁荣
jjfs 经济封锁
jjfy 醮 截
jjfz 经济发展
jjg 贾
jjg/ 教给
jjgd 聚光灯
jjgf 赍 贾
jjgg 救国
jjgh 堇
jjgj 教工
jjgl 经济管理
jjgn 教改
jjgo 教官
jjgq 截稿
jjgr 经济过热
jjgt 觐
jjgw 鞠躬
jjgx 经济关系
jjgy 近几个月
jjhb 截获
jjhc 救活
jjhd 经济活动
jjhf 聚会 教会
jjhh 家家户户
jjhi 救火
jjhj 经济环境
jjhp 教诲
jjhs 聚精会神
jjhu 救护
jjhy 紧急会议
jjj 酵
jjj/ 晋级
jjjc 救济
jjjf 基金 聚集 聚焦
jjjg 经济结构
jjjh 基金会 截击
jjjj 将计就计 斤斤计较 救济金
jjjk 酵
jjjl 兢
jjjm 棘
jjjn 基建 聚居
jjjq 经济技术开发区 聚积 聚居区
jjjs 经济建设
jjjt 救急
jjjw 经济交往
jjjy 嘉奖
jjjz 戒骄戒躁 髻
jjk 颉
jjkf 经济开发
jjkg 颉
jjkp 教课
